Household Pulse Survey,,,,,,
Data Dictionary for CSV - Phase 4.2 Cycle 09,,,,,,
,,,,,,
,,,,,,
Instrument Q #,Variable,Description,,Question Wording,Range,Phases / Notes
D12,KIDS_5_11Y,Description,"In your household, are there… Select all that apply.","In your household, are there… Select all that apply.","<blank>,1","3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Children 5 through 11 years old
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,If THHLD_NUMKID > 0,,,
,,Internal Notes,,,,
D12,KIDS_12_17Y,Description,"In your household, are there… Select all that apply.","In your household, are there… Select all that apply.","<blank>,1","3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Children 12 through 17 years old
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,If THHLD_NUMKID > 0,,,
,,Internal Notes,,,,
INF2,FRMLA_AGE,Description,Age of youngest infant in household,"How many months old is the baby or infant in your household? If there are more than one, please report the age of the youngest.",1:3,"3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Under 6 months?
2) Between 6 months and 9 months?
3) Between 9 months and 12 months?
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,KIDS_LT1Y = 1,,,
,,Internal Notes,,,,
INF5,BABY_FED,Description,How is the baby in your household fed,"How is the baby in your household fed (in addition to any solid foods the baby may be consuming)? If there is more than one baby, please report on the youngest.",1:4,"3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Breastfeeding (or pumped breastmilk) only
2) Sometimes breastfeeding (or pumped breastmilk) and sometimes infant formula
3) Infant formula only
4) Baby isn’t fed breastmilk OR Infant formula
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,KIDS_LT1Y = 1,,,
,,Internal Notes,,,,
INF6,FRMLA_DIFFCLT,Description,Formula difficult to obtain past month,"In the last month, did you have difficulty obtaining Infant Formula?",1:3,"3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Yes, in the last 7 days  
2) Yes, more than 7 days ago but within the last month
3) No, did not have trouble getting infant formula in the last month
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,"BABY_FED in (2,3)",,,
,,Internal Notes,,,,
D13,ENRPUBCHK,Description,Enrolled in public school (checkbox),"During the school year that begins in the Summer / Fall of 2024, how many children in this household are or will be enrolled in Kindergarten through 12th grade or grade equivalent? Enter whole numbers for all that apply.","<blank>,1","1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Enrolled in public school checkbox selected
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,If THHLD_NUMKID > 0,,,
,,Internal Notes,,,,
D13,TENROLLPUB,Description,Number enrolled in public school,"During the school year that begins in the Summer / Fall of 2024, how many children in this household are or will be enrolled in Kindergarten through 12th grade or grade equivalent? Enter whole numbers for all that apply.",1:20,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,(0-20) number of children (whole number),,,
,,Universe,If THHLD_NUMKID > 0,,,
,,Internal Notes,,,,
D13,ENRPRVCHK,Description,Enrolled in private school (checkbox),"During the school year that begins in the Summer / Fall of 2024, how many children in this household are or will be enrolled in Kindergarten through 12th grade or grade equivalent? Enter whole numbers for all that apply.","<blank>,1","1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Enrolled in private school checkbox selected
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,If THHLD_NUMKID > 0,,,
,,Internal Notes,,,,
D13,TENROLLPRV,Description,Number enrolled in private school,"During the school year that begins in the Summer / Fall of 2024, how many children in this household are or will be enrolled in Kindergarten through 12th grade or grade equivalent? Enter whole numbers for all that apply.",0:20,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,(0-20) number of children (whole number),,,
,,Universe,If THHLD_NUMKID > 0,,,
,,Internal Notes,,,,
D13,ENRHMSCHK,Description,Homeschooled (checkbox),"During the school year that begins in the Summer / Fall of 2024, how many children in this household are or will be enrolled in Kindergarten through 12th grade or grade equivalent? Enter whole numbers for all that apply.","<blank>,1","1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Homeschooled checkbox selected
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,If THHLD_NUMKID > 0,,,
,,Internal Notes,,,,
D13,TENROLLHMSCH,Description,"Number homeschooled, that is not enrolled in public or private school ","During the school year that begins in the Summer / Fall of 2024, how many children in this household are or will be enrolled in Kindergarten through 12th grade or grade equivalent? Enter whole numbers for all that apply.",1:20,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,(0-20) number of children (whole number),,,
,,Universe,If THHLD_NUMKID > 0,,,
,,Internal Notes,,,,
D13,ENROLLNONE,Description,Reporting children enrolled in none of the school types,"During the school year that begins in the Summer / Fall of 2024, how many children in this household are or will be enrolled in Kindergarten through 12th grade or grade equivalent? Enter whole numbers for all that apply.","<blank>,1","1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) None
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,If THHLD_NUMKID > 0,,,
,,Internal Notes,This is an exclusive category,,,
D14,ACTVDUTY1,Description,Active duty or reserves self or spouse,"Are you or your spouse currently serving in the U.S. Armed Forces (Active Duty, Reserve, or National Guard)?","<blank>,1","3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) No
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
D14,ACTVDUTY2,Description,Active duty or reserves self or spouse,"Are you or your spouse currently serving in the U.S. Armed Forces (Active Duty, Reserve, or National Guard)?","<blank>,1","3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Yes, I'm serving on active duty
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
D14,ACTVDUTY3,Description,Active duty or reserves self or spouse,"Are you or your spouse currently serving in the U.S. Armed Forces (Active Duty, Reserve, or National Guard)?","<blank>,1","3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Yes, I'm serving in the Reserve or National Guard
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
D14,ACTVDUTY4,Description,Active duty or reserves self or spouse,"Are you or your spouse currently serving in the U.S. Armed Forces (Active Duty, Reserve, or National Guard)?","<blank>,1","3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Yes, my spouse is serving on active duty
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
D14,ACTVDUTY5,Description,Active duty or reserves self or spouse,"Are you or your spouse currently serving in the U.S. Armed Forces (Active Duty, Reserve, or National Guard)?","<blank>,1","3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Yes, my spouse is serving in the Reserve or National Guard
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
D15,VETERAN1,Description,Veteran self or spouse,"Have you or your spouse ever served in the U.S. Armed Forces (Active Duty, Reserve, or National Guard)? ","<blank>,1","3.10, 4.0, 4.1, 4.2 "
,,Values,"1) No 
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,ACTVDUTY1 = 1,,,
,,Internal Notes,,,,
D15,VETERAN2,Description,Veteran self or spouse,"Have you or your spouse ever served in the U.S. Armed Forces (Active Duty, Reserve, or National Guard)? ","<blank>,1","3.10, 4.0, 4.1, 4.2 "
,,Values,"1) Yes, I served on active duty
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,ACTVDUTY1 = 1,,,
,,Internal Notes,,,,
D15,VETERAN3,Description,Veteran self or spouse,"Have you or your spouse ever served in the U.S. Armed Forces (Active Duty, Reserve, or National Guard)? ","<blank>,1","3.10, 4.0, 4.1, 4.2 "
,,Values,"1) Yes, I served in the Reserve or National Guard 
-99) Question seen but category not selected
-88) Missing / Did not report ",,,
,,Universe,ACTVDUTY1 = 1,,,
,,Internal Notes,,,,
D15,VETERAN4,Description,Veteran self or spouse,"Have you or your spouse ever served in the U.S. Armed Forces (Active Duty, Reserve, or National Guard)? ","<blank>,1","3.10, 4.0, 4.1, 4.2 "
,,Values,"1) Yes, my spouse served on active duty
-99) Question seen but category not selected
-88) Missing / Did not report    ",,,
,,Universe,ACTVDUTY1 = 1,,,
,,Internal Notes,,,,
D15,VETERAN5,Description,Veteran self or spouse,"Have you or your spouse ever served in the U.S. Armed Forces (Active Duty, Reserve, or National Guard)? ","<blank>,1","3.10, 4.0, 4.1, 4.2 "
,,Values,"1) Yes, my spouse served in the Reserve or National Guard
-99) Question seen but category not selected
-88) Missing / Did not report ",,,
,,Universe,ACTVDUTY1 = 1,,,
,,Internal Notes,,,,
EMP1,WRKLOSSRV,Description,Recent household job loss,"
Have you, or has anyone in your household experienced a loss of employment income in the last 4 weeks?  Select only one answer. ",1:2,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Yes
2) No
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
EMP2,ANYWORK,Description,Employment status for last 7 days,"Now we are going to ask about your employment.
In the last 7 days, did you do ANY work for either pay or profit? Select only one answer.",1:2,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Yes
2) No
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
EMP3,KINDWORK,Description,Sector of employment,"Are you employed by the government, by a private company, a nonprofit organization or are you self-employed or working in a family business? Select only one answer.",1:5,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Government
2) Private company
3) Non-profit organization including tax exempt and charitable organizations
4) Self-employed
5) Working in a family business
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,ANYWORK = 1,,,
,,Internal Notes,,,,
EMP4,RSNNOWRKRV,Description,,"What is your main reason for not working for pay or profit?
Select only one answer. - Selected Choice",1:9,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) I did not want to be employed at this time
2)  I am/was caring for children not in school or daycare
3) I am/was caring for an elderly person
4)  I am/was sick or disabled 
5) I am retired
6) I am/was laid off or furloughed
7) My employer closed temporarily or went out of business
8) I do/did not have transportation to work
9) Other reason, please specify
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,ANYWORK = 2,,,
,,Internal Notes,,,,
SPN5_DAYSTW,TWDAYS,Description,Number of telework days in past week - persons in respondent's household,"In the last 7 days, have any of the people in your household teleworked or worked from home?",1:4,"3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Yes, for 1-2 days
2) Yes, for 3-4 days
3) Yes, for 5 or more days
4) No
-99) Question seen but category not selected
-88) Missing / Did not report ",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
SPN5_DAYSTW_2,TWDAYS_RESP,Description,Number of telework days in past week - respondent,"In the last 7 days, have you teleworked or worked from home?",1:4,"3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Yes, for 1-2 days
2) Yes, for 3-4 days
3) Yes, for 5 or more days
4) No
-99) Question seen but category not selected
-88) Missing / Did not report ",,,
,,Universe,"TWDAYS in (1,2,3) and ANYWORK = 1",,,
,,Internal Notes,,,,
DIS1,SEEING,Description,Limitations in seeing,"Do you have difficulty seeing, even when wearing glasses? Select one.",1:4,"3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) No - no difficulty
2) Yes - some difficulty
3) Yes - a lot of difficulty
4) Cannot do at all
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
DIS2,HEARING,Description,Limitations in hearing,"Do you have difficulty hearing, even when using a hearing aid? Select one.",1:4,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) No - no difficulty
2) Yes - some difficulty
3) Yes - a lot of difficulty
4) Cannot do at all
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
DIS4,MOBILITY,Description,Limitations in mobility,Do you have difficulty walking or climbing stairs? Select one.,1:4,"2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) No - no difficulty
2) Yes - some difficulty
3) Yes - a lot of difficulty
4) Cannot do at all
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
DIS3,REMEMBERING,Description,Limitations in remembering or concentrating,Do you have difficulty remembering or concentrating? Select one.,1:4,"2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) No - no difficulty
2) Yes - some difficulty
3) Yes - a lot of difficulty
4) Cannot do at all
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
DIS5,SELFCARE,Description,Limitations in self-care,"Do you have difficulty with self-care, such as washing all over or dressing? Select one.",1:4,"3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) No - no difficulty
2) Yes - some difficulty
3) Yes - a lot of difficulty
4) Cannot do at all
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
DIS6,UNDERSTAND,Description,Limitations in understanding or being understood,"Using your usual language, do you have difficulty communicating, for example understanding or being understood? Select one.",1:4,"3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) No - no difficulty
2) Yes - some difficulty
3) Yes - a lot of difficulty
4) Cannot do at all
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
HLTH1,ANXIOUS,Description,Frequency of anxiety over previous 2 weeks,"Next, we will ask about health and medical care. 

Over the last 2 weeks, how often have you been bothered by feeling nervous, anxious, or on edge? Select only one answer.",1:4,"1, 2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Not at all
2) Several days
3) More than half the days
4) Nearly every day 
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
HLTH2,WORRY,Description,Frequency of worry over previous 2 weeks,"Over the last 2 weeks, how often have you been bothered by the not being able to stop or control worrying? Select only one answer.",1:4,"2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Not at all
2) Several days
3) More than half the days
4) Nearly every day 
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
HLTH3,INTEREST,Description,Frequency of having little interest in things over previous 2 weeks,"Over the last 2 weeks, how often have you been bothered by having little interest or pleasure in doing things? Select only one answer.",1:4,"2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Not at all
2) Several days
3) More than half the days
4) Nearly every day 
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
HLTH4,DOWN,Description,Frequency of feeling depressed over previous 2 weeks,"Over the last 2 weeks, how often have you been bothered by feeling down, depressed, or hopeless? Select only one answer.",1:4,"2, 3, 3.1, 3.2, 3.3, 3.4, 3.5, 3.6, 3.7, 3.8, 3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Not at all
2) Several days
3) More than half the days
4) Nearly every day 
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
MH1,MHLTH_NEED,Description,Children need for mental health treatment,"During the last 4 weeks, did any children in your household need mental health treatment? Mental health treatment includes health services like counseling or medication.",1:3,"3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Yes, all children needed mental health treatment
2) Yes, some but not all children needed mental health treatment
3) No, none of the children needed mental health treatment
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,THHLD_NUMKID > 0,,,
,,Internal Notes,,,,
MH2,MHLTH_GET,Description,Children receive mental health treatment,Did the children who needed mental health treatment receive it?,1:3,"3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Yes, all children who needed treatment received it
2) Yes, but only some children who needed treatment received it
3) No, none of the children who needed treatment received it
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,"If MHLTH_NEED in (1,2)",,,
,,Internal Notes,,,,
MH3,MHLTH_SATISFD,Description,Satisfaction with mental health treatment,"Were you satisfied with the type, quality, and quantity of mental health treatment the children received?",1:3,"3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Satisfied with all of the mental health treatment the children received
2) Satisfied with some but not all of the mental health treatment the children received
3) Not satisfied with the mental health treatment the children received
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,"if MHLTH_GET in (1,2)",,,
,,Internal Notes,,,,
MH4,MHLTH_DIFFCLT,Description,Difficulty obtaining mental health treatment,How difficult was it to get mental health treatment for the children?,1:5,"3.9, 3.10, 4.0, 4.1, 4.2"
,,Values,"1) Not difficult
2) Somewhat difficult
3) Very difficult
4) Unable to get treatment due to difficulty
5) Did not try to get treatment
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,"If MHLTH_NEED in (1,2)",,,
,,Internal Notes,,,,
SOC1,SOCIAL1,Description,Social and emotional support ,How often do you get the social and emotional support you need? ,1:5,"4.0, 4.1, 4.2 "
,,Values,"1) Always
2) Usually
3) Sometimes
4) Rarely?
5) Never
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
SOC2,SOCIAL2,Description,Frequency of Loneliness,How often do you feel lonely?  ,1:5,"4.0, 4.1, 4.2 "
,,Values,"1) Always
2) Usually
3) Sometimes
4) Rarely?
5) Never
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
SOCInd1,SUPPORT1,Description,"Talk on telephone with family, friends, or neighbors","In a typical week, how often do you talk on the telephone with family, friends, or neighbors?",1:4,"4.0, 4.1, 4.2 "
,,Values,"1) Less than once a week
2) 1 or 2 times a week
3) 3 or 4 times a week
4) 5 or more times a week
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
SOCInd2,SUPPORT2,Description,Get together with friends or relatives,How often do you get together with friends or relatives?,1:4,"4.0, 4.1, 4.2 "
,,Values,"1) Less than once a week
2) 1 or 2 times a week
3) 3 or 4 times a week
4) 5 or more times a week
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
SOCInd3,SUPPORT3,Description,Attend church or religious services,How often do you attend church or religious services?,1:4,"4.0, 4.1, 4.2 "
,,Values,"1) Never or less than once a year
2) 1 to 3 times per year  
3) 4 to 11 times per year  
4) 12 or more times per year  
-99) Question seen but category not selected
-88) Missing / Did not report",,,
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
SOCInd4,SUPPORT4_RV,Description,Attends meetings of clubs or organizations,"Altogether, how often do you attend meetings of clubs or organizations you belong to, such as church groups, unions, fraternal or athletic groups, or school groups?",1:5,"4.0, 4.1, 4.2 "
,,Values,"1) I do not belong to a group
2) Never or less than once a year
3) 1 to 3 times per year
4) 4 to 11 times per year
5) 12 or more times per year 
-99) Question seen but category not selected
-88) Missing / Did not report",,,"Phase 4.1, 4.2 update: The variable name has been updated as the question wording and response options were changed."
,,Universe,TBIRTH_YEAR<=2006,,,
,,Internal Notes,,,,
SHORTAGE1,SHRTGMEDICAL1,Description,Medication shortage,"In the past month, have you or a member of your household been directly affected by a shortage of the following? Select all that apply.","<blank>, 1","3.10, 4.2"
